opcode,api,permissions,score,feature_importance_unobf,stability_change,ranking
move-object/from16_freq,,,0.0017401207641595615,0.0019334675157328463,0.0019334675157328463,171
long-to-int_freq,,,0.001729544461901819,0.001921716068779799,0.001921716068779799,172
,release_call,,0.0017165779898485635,0.0019073088776095151,0.0019073088776095151,173
,getAccountsByTypeAndFeatures_call,,0.0016690848614880531,0.0018545387349867258,0.0018545387349867258,174
rsub-int_freq,,,0.0016672468265010458,0.001852496473890051,0.001852496473890051,175
,getVersion_call,,0.001653567339991976,0.0018372970444355291,0.0018372970444355291,176
aput_freq,,,0.0016252415542146552,0.0018058239491273948,0.0018058239491273948,177
rem-double_freq,,,0.0016183569937863497,0.0017981744375403887,0.0017981744375403887,178
return_freq,,,0.0016162693334249132,0.0017958548149165704,0.0017958548149165704,179
,setFeature_call,,0.0016141122712684981,0.0017934580791872203,0.0017934580791872203,180
unused_freq,,,0.001613198335264854,0.0017924425947387268,0.0017924425947387268,181
check-cast_freq,,,0.0015955008702842974,0.0017727787447603307,0.0017727787447603307,182
,getHttpSocketFactory_call,,0.0015608786038040503,0.0017343095597822783,0.0017343095597822783,183
sput-object_freq,,,0.001542477972092346,0.00171386441343594,0.00171386441343594,184
aput-char_freq,,,0.0015180409293377346,0.0016867121437085942,0.0016867121437085942,185
unused_freq,,,0.0015087379016207026,0.0016763754462452251,0.0016763754462452251,186
shr-long_freq,,,0.0014909558544842138,0.0016566176160935711,0.0016566176160935711,187
,divideMessage_call,,0.0014879266035153764,0.0016532517816837517,0.0016532517816837517,188
iput-byte_freq,,,0.0014796498572506496,0.0016440553969451664,0.0016440553969451664,189
sget-object_freq,,,0.0014406456306829312,0.0016007173674254791,0.0016007173674254791,190
mul-int/lit16_freq,,,0.0014372902920868351,0.0015969892134298168,0.0015969892134298168,191
not-int_freq,,,0.0014331598120405525,0.0015923997911561694,0.0015923997911561694,192
rem-float/2addr_freq,,,0.0014285986311182858,0.001587331812353651,0.001587331812353651,193
,ClassLoader_call,,0.0014203755720523731,0.0015781950800581924,0.0015781950800581924,194
,getCellLocation_call,,0.0013960274820943135,0.0015511416467714595,0.0015511416467714595,195
,getSessionFor_call,,0.0013952209452868676,0.0015502454947631864,0.0015502454947631864,196
,getAccountsByType_call,,0.0013942840627670376,0.0015492045141855975,0.0015492045141855975,197
,renameTo_call,,0.0013884449830610344,0.001542716647845594,0.001542716647845594,198
sub-double/2addr_freq,,,0.0013781412072153168,0.0015312680080170186,0.0015312680080170186,199
iput_freq,,,0.0013747409518700454,0.0015274899465222728,0.0015274899465222728,200
div-int/lit16_freq,,,0.0013510535872591804,0.0015011706525102006,0.0015011706525102006,201
,encode_call,,0.0013122897250832026,0.0014580996945368918,0.0014580996945368918,202
new-instance_freq,,,0.0012947347311677289,0.001438594145741921,0.001438594145741921,203
xor-long/2addr_freq,,,0.0012733414600398583,0.0014148238444887315,0.0014148238444887315,204
ushr-long/2addr_freq,,,0.0012633057953238766,0.0014036731059154184,0.0014036731059154184,205
sparse-switch_freq,,,0.0012605249659276654,0.0014005832954751838,0.0014005832954751838,206
